UID	Base_Price	Sakhalin_OPT
38bc0aa3-5923-11ea-b113-000d88394cae	50277.50	56784.00
38bc0aa8-5923-11ea-b113-000d88394cae	60429.90	68250.24
38bc0aab-5923-11ea-b113-000d88394cae	70099.50	79171.20
38bc0aae-5923-11ea-b113-000d88394cae	90725.60	102466.56
7ddc5330-fcb3-11e3-82ab-000d88394cae	67.84	72.37
7ddc5332-fcb3-11e3-82ab-000d88394cae	81.41	86.85
c385f4ee-dd42-11e6-b2f7-000d88394cae	110.08	128.21
8954ab7e-06c3-11ec-b5f4-00ad24907f57	0.00	0.00
0e530a7e-22c4-11e9-89fa-000d88394cae	0.00	0.00
cc0c3e72-228a-11e9-89fa-000d88394cae	0.00	0.00
74d5e838-9f4b-11e8-a2ed-000d88394cae	447.78	537.34
74d5e83b-9f4b-11e8-a2ed-000d88394cae	592.66	711.19
80186cf0-8c3b-11e2-b580-000d88394cae	2531.72	2430.45
80186cf2-8c3b-11e2-b580-000d88394cae	4205.92	4113.18
80186cf6-8c3b-11e2-b580-000d88394cae	6409.86	6589.06
1905816f-b68b-11e6-8bf9-000d88394cae	20764.62	19934.03
d75f0429-2055-11ea-968f-000d88394cae	41822.24	48095.58
80186ce8-8c3b-11e2-b580-000d88394cae	3693.60	3555.09
a0093154-0c83-11e4-82ab-000d88394cae	9531.58	10167.01
a0093150-0c83-11e4-82ab-000d88394cae	3345.33	3778.26
1f737211-0bba-11e4-82ab-000d88394cae	4663.63	4749.82
1f737213-0bba-11e4-82ab-000d88394cae	4246.86	4366.45
0496cf2c-32f8-11df-9f2e-001e8c61815f	694.18	685.04
80186cee-8c3b-11e2-b580-000d88394cae	1254.04	1203.87
3488fe67-c6c0-11e4-83de-000d88394cae	2162.00	2075.52
73b17e87-a6f9-11dd-a90a-0016d341a9fb	3377.04	3241.95
37f095de-ebfd-11dd-a964-0016d341a9fb	5561.94	5339.46
80186cec-8c3b-11e2-b580-000d88394cae	18266.22	13976.80
f9b26079-718d-11e7-b6a3-000d88394cae	1520.64	1463.62
c82a216f-5c3a-11ea-b113-000d88394cae	1235.65	1395.55
c82a216c-5c3a-11ea-b113-000d88394cae	3207.17	3622.21
f9b26076-718d-11e7-b6a3-000d88394cae	2620.80	2522.52
f9b26082-718d-11e7-b6a3-000d88394cae	6556.17	5553.46
1f73720a-0bba-11e4-82ab-000d88394cae	1358.81	1440.90
1f73720c-0bba-11e4-82ab-000d88394cae	4561.61	5151.94
1f73720e-0bba-11e4-82ab-000d88394cae	5520.51	6234.93
80186ce0-8c3b-11e2-b580-000d88394cae	735.02	705.62
80186ce2-8c3b-11e2-b580-000d88394cae	1225.02	1176.02
a4ee09a4-78cb-11e8-a432-000d88394cae	2150.42	2064.40
80186ce4-8c3b-11e2-b580-000d88394cae	3641.88	3496.21
80186ce6-8c3b-11e2-b580-000d88394cae	6851.32	5653.33
518e6e28-2580-11e8-8c44-000d88394cae	20653.82	19827.66
b4c53fea-fe4a-11dd-a52f-0013024cf952	3077.02	3538.57
bfe2535e-dd8b-11e0-b851-002511c4eb4e	2542.86	2441.15
ca1e0c1f-7791-11e1-88a8-6cf04914883f	3605.12	3460.91
80186cf4-8c3b-11e2-b580-000d88394cae	6382.08	3715.81
